English,target
reloading document from  ,بازخوانی نوشتار
voice ,صوتی
 location ,محل
this option will connect to the server using a secure cram -  md5 password    if the server supports it .   ,این گزینه در صورت پشتیبانی کارگزار ، با استفاده از یک گذرواژهیامنcrammd5 به ان متصل خواهد شد .
place the ten of spades next to the nine of spades .   ,انتقال a بر روی نه پیک .
 -  bugreport .  txt ,
the gnome image viewer .   ,برنامهینمایشگر تصاویر گنوم .
color of highlight for the current match ,رنگ پررنگی برای تطابق فعلی
install card themes ,نصب تم کارت ها
place the ten of spades next to the nine of spades .   ,قراردادن ده پیک در کنار نه پیک .
dvd -  r ,dvdr
could not start room listing ,شروع به فهرست کردن اتاق ممکن نبود
bad signature ,امضای نامناسب
provide password ,فراهم کردن گذرواژه
unexpected server response from xover  :     ,پاسخ غیرمنتظرهی کارگزار از xover :
upload the new translation ,بارگذاری ترجمه جدید
when ,چه زمانی
notification ,اعلان
no imap mailbox available for folder   '     '    ,: کارخانه ای برای نشانی اینترنتی « » موجود نیست
galeon ,galeon
a list of strings that come in the form of a quintuple  :    name    wins    total games played    best time  (  in seconds )   and worst time  (  also in seconds )   .   unplayed games do not need to be represented .   ,فهرستی از رشته ها که به شکلپنجتایی هستند : نام ، بردها ، مجموع بازی های انجام شده ، بهترین زمان ( به ثانیه ) و بدترین زمان ( ان هم به ثانیه ) . بازی های بازی نشده نمایش داده نمیشوند .
move  a onto the nine of clubs .   ,انتقال a بر روی نهخاج .
 next ,بعدی
no burner specified ,هیچسوزاننده ای مشخص نشده
show session management options ,گزینه های مدیریت نشست را نشان بده
hebrew  (  is o -  8859 -  8 -  i )   ,عبری ( iso88598 i )
the product specified doesn  '   t exist or has been renamed .   please upgrade to the latest version .   ,محصول مشخص شده وجود ندارد یا نامش تغییر کرده است . لطفا ان را به اخرین نسخه موجود ارتقا دهید .
skype work name 2 ,نام نمایشی کاری msn 2
abort pending downloads ?   ,بارگیری های انجام نشده قطع شوند ؟
change my password ,تغییر گذرواژه من
whether or not to show the status bar ,این که نوار وضعیت نشان دادهشود یا نه
accessible table caption ,عنوان جدول دسترسیپذیری
 publish location to my contacts ,انتشار مکان برای اشناهای من
%  .  1fx  (  dvd )   ,. 1f ( dvd )
this key determines the gtk  modules to load for accessibility support .   ,این کلید تعیینکنندهپیمانه هایgtk است ، برای بارکردن برای پشتیبانی از دسترسیپذیری .
" ""   ""   expects the first argument to be a string ",« » انتظار دارد ارگومان اول رشته باشد
select fonts for bar tamil ,تامیلی bar
automatically detect  .   .   .   character encodings bar korean ,کره ای bar
tiff documents ,سندهای dvi
mixture model  (  ppm dictionary )   ,مدل ترکیبی ( ppm لغتنامه )
number of pages  :    ,تعداد صفحه ها :
a utomatically download and open files ,بارگیری و باز کردن خودکار پرونده ها
cancel  print and close ,لغو چاپ و بستن
pashto ,پشتو
"error parsing playlist  ""   ""   .   ",خطا در تجزیه فهرستپخش « »
show the address column ,نمایش ستون ادرس ها
failed to load remote file .   ,بار کردن سند شکستخورد .
failed to load remote file .   ,باز کردن نوشتار « » ممکن نیست
no file selected ,هیج پرونده ای انتخاب نشده
13th ,سیزدهم
if you don  '   t save    your changes will be lost .   ,اگر ذخیره نکنید ، تمام تغییراتی که داده اید برای همیشه از دست خواهد رفت .
start a new game ,شروع بازی جدید
it allows you to browse live statistics .   damned lies also manages the translation workflow .   ,به شما اجازه میدهد که امارهای زنده را مرور کنید . « دروغ های ملعون » همچنین مدیریت گردش کاری ترجمه ها را نیز برعهده دارد .
move  a onto the jack of spades .   ,انتقال a بر روی سرباز پیک .
nat traversal options ,گزینه های پیمایش nat
server response contained incomplete authorization data ,پاسخ کارگزار حاوی داده های تایید هویت ناقص بود
sign text ,امضا کردن متن
security  :    ,امنیت :
 enable sound notifications ,فعال کردن اطلاعیه های صوتی
deal a card from the deck ,گرفتن یک کارت از دستهی ورق
%  .  0f x %  .  0f mm ,. 0f . 0f میلیمتر
translator -  credits ,ارش موسوی محمد جواد بدیعی مهیارمقیمیروزبهپورنادر میلاد زکریاالنازسربر
sidebar extension required ,ضمیمه نوار کناری مورد نیاز است
quit message  :    ,پیغام ترک :
 deal ,معامله
pop up notifications when a contact logs in ,وقتی اشنایی وارد میشود ، اطلاعیه های واشو انجام شود
select the personal data you wish to clear ,اطلاعات شخصی را که میخواهید پاک کنید ، انتخاب کنید
the gnome image viewer .   ,برنامه نمایش و کاتالوگ کردن تصاویر گنوم
 personal information ,اطلاعات شخصی
saving image to  ,درحالذخیرهی تصویر در
 leave fullscreen ,تر ک حالت تمامصفحه
failed to create child process   '     '     :     ,ساختن فراروند فرزند « » شکست خورد :
cannot change value of calendar property   '     '    ,نمیتوان داده های تقویم را ذخیره کرد : نشانی اینترنتی معیوب است .
could not synchronize temporary folder   :     ,همگام کردن پوشهی موقت ممکن نبود :
archived actions  (  %  (  human level )  s archived series )   ,فعالیت های ارشیوشده ( سریارشیوها٪ ( humanlevel ) s )
t oolbars ,نوارهای اب زار
use own fonts ,استفاده از قلم های خود
filler ,پرکننده
mechanism  :    ,سازوکار :
url to subscribe ,ادرس جهت ثبت
audio cd successfully burned ,سیدی صوتی با موفقیت سوزانده شد
 options  :    ,گزینه ها
ics calendar ,تقویم ics
no such source ,چنین پیغامی وجود ندارد
 has left the room ,فرد از اتاق خارجشدfoohaslefttheroom
web pages ,صفحات وب
forty thieves ,چهل دزد
couldn  '   t allocate memory for loading jpeg file ,اختصاص حافظه برای بار کردن تصویر jpeg ممکن نیست
t opics  :    ,موضوعات :
file not writable ,پروندهی غیرقابل نوشتن
called atspi event listener register from callback with a null event type ,مورد atspieventlistenerregisterfromcallback با یکeventtype نوع null فراخوانده شد
find previous occurrence of the search string ,پیدا کردن مورد قبلی رشته جستجو
gnome desktop ,رومیزی گنوم
offline ,برونخطpresence
new  window ,پنجره جدید
epiphany web browser ,مرورگروب اپیفانی
translator -  credits ,میلاد زکریاروزبهپورنادر
the height of the main window in pixels .   ,ارتفاع پنجره اصلی بهپیکسل .
syntax error in parameters or arguments ,خطای نحوی در پارامترها یا ارگومان ها
the file    has been downloaded .   ,پرونده « » پیدا نشد .
exif not supported for this file format .   ,exif برای این قالب پرونده پشتیبانی نمیشود .
place the seven of clubs next to the six of clubs .   ,قراردادن هفتخاج در کنار ششخاج .
provide ,فراهم کردن
file where bug -  buddy will save your bug report in case it can  '   t be sent immediately to bugzilla .   ,پرونده ای که باگبادی گزارش اشکال شما را در زمانی که نمیتوان ان را فورا به باگزیلافرستاد ، در ان ذخیره میکند .
cannot get pop summary  :    ,گرفتن خلاصهیpop امکانپذیر نیست :
escalator ,بالابر
kind of network selected in the druid ,نوع شبکهی انتخاب شده در درویید
two of spades ,دو پیک
move  a onto the seven of spades .   ,انتقال a بر روی هفت پیک .
this is your username    not your normal facebook login .   if you are facebook .  com badger    enter badger .   use this page to choose a facebook username if you don  '   t have one .   ,این نام کاربری شماست ، و نه ورود به سیستم فیسبوک معمول شما . اگر شما هستید ، badger را وارد کنید . اگر نام کاربریفیسبوک ندارید به این ادرس بروید تا یکی بسازید .
product or component not specified .   ,حاصل یا اجزا مشخص نشدهاند .
help ,راهنما
table row header ,سرسطر جدول
search for similar bugs before reporting it ,قبل از گزارش باگ برای پیدا کردن باگ های مشابه جستوجو کنید
west ,غرب
unable to open uri ,بازکردننشانی اینترنتی مقدور نیست
the black joker ,ژوکر سیاه
automatic downloads ,بازکردن خودکار پرونده های بارگیری شده
score  :    ,امتیاز :
invalid range ,ارگوماننامعتبر
estimated remaining time  :    % 02i  :   % 02i  :   % 02i ,زمان باقیماندهی تقریبی : 02i : 02i : 02i
image ,تصویر
unsubscribing from folder   '     '    ,نمیتوانابونهیپوشهی « » را قطع کرد : فرمان نامناسب
set to  blank page ,تنظیم روی صفحهی خالی
not implemented ,پیادهسازی نشده است
changes the visibility of the image gallery pane in the current window ,حالت مریی بودن قاب گالری تصویر را در پنجرهی فعلی تغییر میدهد
calling  .   .   .   ,در حال تماس گرفتن با
telepathy -  salut not installed ,مورد telepathysalut نصب نشده است
accessible name ,نام دسترسیپذیری
east ,شرق
committers ,ارسالکنندگان
gnome journal ,ماژول هایگنوم
cannot retrieve calendar object path  :    ,نمیتوان داده های تقویم را ذخیره کرد : نشانی اینترنتی معیوب است .
hello    ,سلام ؛
 about image viewer ,درباره نمایشگر تصویر
allow popups ,اجازه دادن منوهای واشو
starting and stopping ,اغاز و توقف :
  -   password required ,گذرواژه لازم است
 authentication failed ,تایید هویت شکست خورد
unable to create the bug report  :     ,ایجاد گزارش اشکال ممکن نیست :
the ip address as seen by the machine ,نشانی ip همانطورکه توسط ماشین دیده میشود
"file type  :     .   you can open  ""   ""   using  ""   ""   or save it .   ",نوع پرونده : . شما میتوانید برای باز کردن « » از « » استفاده کنید یا اینکه ان را ذخیرهکنید .
generating private key .   ,در حال تولید کلید خصوصی
t ools ,ابزار
 sidebar ,نوار جانبی
cannot uncompress book   '     '     :     ,عدم امکان در نافشرده کتاب « » :
retrieving pop summary ,در حال بازیابیخلاصهیpop
save current project to a different location ,ذخیره پروژهی فعلی بر روی یک محل دیگر
empty space on tableau ,فضای خالی روی تابلو
set your presence and current status ,حضور و وضعیت جاری خود را تنظیم کنید
black joker ,ژوکر سیاه
whether connectivity managers should be used to automatically disconnect reconnect .   ,اینکه مدیر های اتصال برای قطع کردن اتصال مجدد خودکار استفاده شود یا خیر .
the gdkwindowstate of the window ,gdkwindowstate پنجره
down ,پایین
this document is locked and can only be read by entering the correct password .   ,این نوشتار قفل شده است و فقط با وارد کردن گذرواژه درست قابل خواندن است .
about web ,درباره
plug -  ins ,افزونه ها
 part                :    leave the chat room    by default the current one ,part : ترک اطاقگپ ، به طور پیشفرض مورد فعلی
enable spell checking for languages  :    ,غلطیاباملایی به کار افتد برای زبان :
estimated drive speed  :    ,سرعت تقریبی دیسکگردان :
subtree ,زیردرخت
stock ,slottype
the error message was  :     ,خطا این بود :
message received ,پیام دریافت شد
enable webaudio ,فعالکردنwebaudio
cannot open calendar  :    ,نمیتوان داده های تقویم را ذخیره کرد : نشانی اینترنتی معیوب است .
remove the four of spades .   ,حذف ده پیک .
show properties for this bookmark ,نشان دادن ویژگی های این نشانک ها
print .   .   .   ,چاپ
zoom  in ,زوم به داخل
split this track in ,splitthistrack in
template ,شابلون
 update ,بههنگامسازی
manage cookies ,کوکی ها
remote candidate  :    ,کاندیدای دوردست :
suspend or resume the video transmission ,توقف یا از سرگیری ارسال ویدیو
fit page width ,جا دادن عرض صفحه
deal next card or cards ,معامله کارت یا کارت های بعدی
bug reporter name ,نام گزارش کنندهی اشکال
set to current  page ,تنظیم روی صفحهی جاری
north ,شمال
you should ensure that your computer  '   s time is correct .   ,باید اطمینان حاصل کنید که زمان کامپیوترتان صحیح است .
chat room ,اتاق گپ
cannot transfer message to destination folder  :     ,نمیتوان پیغام را بهپوشهیmaildir الحاق کرد : :
table cell ,خانه جدول
 1996– 2012 the evince authors ,1996 2012 سازندگان اوینس
enable webkit developer tools ,فعالسازی ابزارهای توسعهی webkit
log conversations ,ثبت وقایع مکالمات
 undo ,بر گردان
position of the local video window ,موقعیتپنجرهیویدیوی محلی
about this game ,دربارهی این بازی
e -  mail address  :    ,نشانی پستالکترونیکی :
save file as ,ذخیره پرونده به نام
 open background preferences ,باز کردن ترجیحات پسزمینه
select fonts for bar hebrew ,عبری bar
optional information  :    ,اطلاعات اختیاری :
smoothing ,هموارسازی :
phone number ,شمارهی تلفن
ch eck for new messages in subscribed folders ,بررسی به دنبال پیغام های جدید در همهی پوشه ها
choose ,انتخاب
disable popup notifications when away ,در حالت « غایب » ، اطلاعیه های واشو از کار بیافتند
place the nine of hearts next to the eight of hearts .   ,انتقال a بر روی هشت دل .
the jack of hearts ,سرباز دل
no such message available .   ,چنین پیغامی وجود ندارد
 contents tab ,زبانهی محتویات
browse and organize your bookmarks ,مرور و سازماندهی چوبالف ها
the summary is required in your bug report .   this should not happen with the latest bug buddy .   ,خلاصه از اجزای ضروری گزارش اشکال شماست . این اتفاق در باگبادی های جدید رخ نمیدهد .
unknown status ,وضعیت ناشناخته
 location ,مکان
confirm password  :    ,تایید گذرواژه :
 edit connection parameters ,ویرایش پارامترهای اتصال
fonts and colors ,قلم ها و رنگ ها
disc burner and copier ,رونشتکننده و سوزانندهی دیسک
don  '   t save ,ذخیره نشود
document ,سند
an empty tableau pile ,یک دسته خالی تابلو
press  to exit fullscreen ,دکمه را فشار دهید تا از حالت تمامصفحه خارج شوید
old password  :    ,گذرواژه قدیمی :
go to the first page ,رفتن یه صفحه اول
image of cd successfully created ,تصویر سیدی با موفقیت ساخته شد
delete every occurrence of ,پاککردن هر گونه رخ داد replacewith
go to  on file    ,برو به در پروندهی « »
credit balance ,مانده اعتبار
gnome web site ,پایگاه وبگنوم 3
play sound for new voice mails ,پخش صدا هنگام دریافت تماس
 enabled ,فعال شده
restore the default menu layout ,برگرداندنچیدمان پیشفرض منو
whether to print the background images ,این که ایا تصاویر پسزمینه چاپ بشوند یا نه
 -   empathy im client ,کارگیر پیامرسانی اینترنتی امپاتی
dvd rw dual layer ,dvdrw دو لایه
file corrupted ,پرونده ها مخدوشند
override document restrictions    like restriction to copy or to print .   ,نادیده گرفتن محدودیت های نوشتار ، مثل محدودیت نسخهبرداری یا چاپ .
disc checking ,درحال بررسی دیسک
no reason was specified ,هیچ دلیلی مشخص نشده بود
show mouse position ,نشان دادن موقعیت موشی
true for a case sensitive search ,« درست » برای جستجوی حساس به کوچکی و بزرگی حروف
clear  all .   .   .   ,پاک کردن همه
place the eight of clubs next to the seven of clubs .   ,قراردادن هشتخاج در کنار هفتخاج .
remove the tens ,حذف ده ها
unsupported uri scheme ,phonenumber
help message ,پیغام راهنما
loading contacts  (  % %  )   ,در حال بارگیری اشناها ( )
save image as ,ذخیرهی تصویر به نامfrench ( france ) language
certificate  details ,جزییات گواهی
save file ,دخیرهی پرونده
zoom ,زوم
the game has no solution .   undo or start again .   ,بازی راهحلی ندارد
"file type  :     .   it is unsafe to open  ""   ""   as it could potentially damage your documents or invade your privacy .   you can download it instead .   ",نوع پرونده : . nباز کردن « » امن نیست ، این نوع پرونده میتواند به طور بالقوه به نوشتارهای شما اسیب برساند یا به زندگی خصوصی شما تجاوز کند . در عوض میتوانید ان را ذخیرهکنید .
cruel ,خبیس
 save link as ,ذخیره پیوند به نام
toggle case sensitive search ,تغییر حالت به جستجو به شکل حساس به بزرگی و کوچکی حروف
about aisleriot ,درباره ایلرایت
back history ,عقب رفتن در تاریخچه
% 3d% %  remaining to search ,٪3d از جستجو باقی مانده
 show downloader .   .   .   ,نشان دادن بارگیر
four suits ,چهار خال
modules ,ماژول ها
page handling ,دستگرفتن صفحه
 time between images  :    ,زمان بین عکس ها :
loading    ,در حال بار کردن « »
6400%  ,٪ 400
the certificate is signed using a weak signature algorithm ,گواهی توسط که الگوریتم ضعیف رمزنگاری شده است
do you want to recover the previous browser windows and tabs ?   ,پنجره ها و برگه هایمرورگر قبلی بازیابیشوند ؟
default encoding .   accepted values are the ones webkitgtk  can understand .   ,رمزنگاری پیشفرض . مقادیر مجاز شامل مواردی هستند که توسط webkitgtk پشتیبانی میشوند .
the identity of this website has been verified .   ,هویت این وبسایت تایید شده است
what is your google password ?   ,گذرواژهیگوگل شما چیست ؟
display the latest content of the current page ,نمایش جدیدترین محتویات صفحهی جاری
image hue ,پرده عکس
when without a stapler    a staple and a ruler will work ,لنگشکن دادا
please replace the disc with a writable cd with at least  mib of free space .   ,لطفا دیسک را با یک سیدی با قابلیت بازنویسی ، با حداقل فضای ازادمگابایتجایگزنینکنید .
slow startup ,اغاز اهسته
connected ,متصل شد
folder  :    ,پوشه :
whether to enable pulseaudio  '   s echo cancellation filter .   ,اینکه ایا فیلتر لغو پژواک صدای pulseaudio فعال شود یا خیر .
tracking ,درحال ردیابی
 tools ,ابزارها
change your presence to see contacts here ,حضور خود را تغییر دهید تا اشناها اینجا را ببینید
you do not have the permissions necessary to save the file .   ,شما اجازه لازم برای ذخیره پرونده را ندارد .
caribou preferences ,اختیارات کاریبو
e ject ,بیرون دادن
preview before printing ,پیشنمایش قبل از چاپ
enter your password for account  ,گذرواژه خود را برای حساب زیر وارد کنید
video off ,خاموش کردن ویدیو
adaptation ,تطبیق :
the chosen sound will be played when a new instant message is received    if enabled ,در صورت به کار انداخته شدن ، صدای انتخاب شده هنگام تماس گرفتن با دیگران پخش خواهد شد
 view in new window ,باز کردن در یک پنجرهی جدید
the two of diamonds ,دو خشت
e -   mail address  :    ,نشانی پستالکترونیکی :
new  windows ,پنجره جدید
epiphany appears to have exited unexpectedly the last time it was run .   you can recover the opened windows and tabs .   ,به نظر میرسید epiphany در اخرینباری که اجرا شد ، به طور غیرمنتظره ای خارج شد . شما میتوانید پنجره ها و زبانه هایبازشده را بازیابی کنید .
proofread ,غلطگیری شده
 import bookmarks .   .   .   ,وارد کردن چوبالف ها
i do  not want to enable this feature for now ,نمیخواهم فعلا این قابلیت را فعلا فعال کنم
available  :    ,موجود :
heading ,سرصفحه
chinese simplified  (   gb18030 )   ,چینی ساده شده ( gb18030 )
gnome 3 .  4  (  old stable )   ,گنوم 3 . 1 ( پایدار قدیمی )
a comment or a file is needed for this action .   ,یک نظر یا یک پرونده برای این حالت لازم است .
cannot delete folder  :      :    invalid operation ,نمیتوان پوشه را حذف کرد : : عملیات نامعتبر
spell checking ,غلطیاب املایی
please enter your pin code  :    ,لطفا نشانی پست الکترونیکی خود را وارد کنید :
 import ,وارد کردن
"error receiving  ""   ""   from  ",خطا در هنگام دریافت « » از
transformation failed .   ,تبدیل شکستخورد .
the ip address of a relay server ,ادرسip مربوط به سرور بازپخش
select the audio input device to use ,دستگاه ورودی صدای استفاده شونده را انتخاب کنید
the change in state was requested ,درخواست تغییر در حالت داده شده بود
example  :    user .  com ,مثال : user
no such message ,چنین پیغامی وجود ندارد
 copy address ,نسخهبرداری از نشانی
gadu -  gadu id list ,شناسهی خانگی jabber 1
input device ,دستگاه ورودی :
select a release or a release set below to see more details about it  :    ,یک انتشار یا مجموعه انتشار را از پایین انتخاب کنید تا اطلاعات بیشتری درباره ان ببینید :
message ,پیغام
profile ,cathoderaytube
could not verify this certificate for unknown reasons .   ,به دلایل نامعلوم نمیتوان این گواهی را تایید کرد .
whether the image should be extrapolated on zoom -  in .   this leads to blurry quality and is somewhat slower than non -  extrapolated images .   ,اینکه ایا تصویر در حالتزومبرونیابی بشود یا نه . این کار باعث نمایش محو تصاویر میشود و تا حدی از تصاویر برونیابی نشدهاهسته تر خواهد بود .
"file type  :     .   you have no application able to open  ""   ""   .   you can download it instead .   ",نوع پرونده : . شما برنامه ای ندارید که بتواند « » را بازکند . در عوض میتوانید ان را ذخیرهکنید .
the component specified doesn  '   t exist or has been renamed .   please upgrade to the latest version .   ,مولفه مشخص شده وجود ندارد یا نامش تغییر کرده است . لطفا ان را به اخرین نسخه موجود ارتقا دهید .
toggle case sensitive search ,« درست » برای جستجوی حساس به کوچکی و بزرگی حروف
the ace of diamonds ,اس خشت
error writing mail temp file  :     ,خطا در نوشتن پروندهی موقت نامه :
you do not have permission to overwrite this file .   ,شما اجازهی رونویسی روی این پرونده را ندارید .
an empty bottom slot ,یکی از خانه های خالی پایینی
import failed ,وارد کردن شکست خورد
issued by ,صادر شده توسط :
summary and folder mismatch    even after a sync ,خلاصه و پوشه حتی پس از همگامسازی مطابقت نمیکنند
start the browser in application mode ,اغازمرورگر در حالت برنامه ای
not embedded ,غیرتوکارtype 1 ( oneofthestandard14 fonts )
turkish  (   ibm -  857 )   ,ترکی ( ibm857 )
whether to print the page title in the header ,این که ایا عنوان صفحه در سرصفحه چاپ شود یا نه
could not parse arguments ,تجزیهی فهرست گیرندگان ممکن نبود
accept ,پذیرش
without comment ,بدون نظر
languages ,زبان
show hint about closing the main window ,هنگام بستن پنجره ، راهنمایی نشان داده شود
no error ,بدون خطا
could not verify this certificate because it has expired .   ,نمیتوان این گواهی را تایید کرد زیرا منقضیشدهاست .
toolbar style ,نوارهایا بزار
bookmarks bar most visited ,بیشتر بازدید شده bar
popup windows ,پنجره های واشو
can  '   t establish a connection to  .   one of you might be on a network that does not allow direct connections .   ,نمیتوان ارتباطی به برقرار کرد . ممکن است یکی از شما در شبکه ای باشد که اجازهی اتصال مستقیم را نمیدهد .
priori ty ,ا لویت
"cannot scan location  ""   ""   ",نمیتوان محل « » را پویش کرد
could not retrieve attachment uris  :    ,بازیابی داده های وضع هوا ممکن نبود
 tabs ,زبانه ها
"the path of the folder where to download files to  ;    or  ""  downloads ""   to use the default downloads folder    or  ""  desktop ""   to use the desktop folder .   ",مسیر پوشه ای که پرونده ها در ان بارگیری شوند ، یا « downloads » تا از پوشهی بارگیری پیشفرض استفاده شود ، یا « desktop » تا از پوشهی رومیزی استفادهشود .
could not detect occupied disk sizes .   ,نمیتوان اندازهیمشغول دیسک ها را پیدا کرد .
select fonts for bar arabic ,عربی bar
ssh ,ssh
ekiga sound events ,رویدادهای صوتی
move  a onto the nine of diamonds .   ,انتقال a بر روی نه خشت .
the position for the chat window side pane ,مکان قاب کناری پنجرهی گپ
move  a from the stock to an empty edge or tableau slot ,جابهجایی a از موجوری به یک خانهی تابلو یا یک حاشیهی خالی
could not rename folder  :     ,تغییر نام پوشه ممکن نبود :
9th ,نهم
mongolian ,مغولی
figures translation status ,نمودارهای وضعیت ترجمه
cannot delete folder  :      :    no such folder ,نمیتوان پوشه را حذف کرد : : چنین پوشه ای وجود ندارد
font for fixed width text ,قلم برای متن هایی با پهنا ثابت
are you sure you want to leave the team ?   ,ایامطمینید که میخواهید گروه را ترک کنید ؟
generating pdf is not supported ,تولید pdfپشتیبانی نشدهاست
 export bookmarks ,صدور چوبالف ها
the page number of the document to display .   ,صفحه ای از نوشتار که نمایش دادهشود .
format used mostly in europe ,قالبی که بیشتر در اروپا استفاده شده است
last updated on  :    ,اخرینبهروزرسانی در :
 always forward calls to the given host ,تماس ها همیشه به میزبان داده شده ارجاع داده شوند
 bookmarks ,چوبالف ها
module translation  :    %  (  name )  s ,ترجمهماژول : ٪ ( name ) s
text chats ,گپ های متنی
  '     '    exited with status   :    mail not sent .   ,sendmail با وضعیت خارج شد : نامه ارسال نشد .
unrecognized desktop file version   '     '    ,نسخهی پرونده میزکار ناشناس « »
always use  these fonts ,همیشه از این قلم ها استفاده شود
open the selected files ,باز کردن پروندهی انتخاب شده
new  data project ,پروژه اطلاعات جدید
most visited ,بیشتر بازدید شده
print ,چاپ
"could not scan some of the folders contained in  ""   ""   ",نمیتوان پوشه « » و یا تعدادی از پوشه های درونش را پایش کرد .
always forward calls to the given host ,تماس ها همیشه به میزبان داده شده ارجاع شوند
remove the ten of spades .   ,حذف ده پیک .
 options ,گزینه ها
tableau ,یک تابلویخالیslottype
cannot get folder   '     '     :    not a maildir directory .   ,نمیتوان پوشهی « » را گرفت : شاخهیmaildir نیست .
redirected to invalid uri ,هدایت به نشانی اینترنتی نامعتبر
infor mation ,اطلاعاتeditindividual ( contextualmenu )
addressbook ,دفترچهی نشانی
view as treemap chart ,نمایش بصورت نمودار درختی
whether empathy should automatically log into your accounts on startup .   ,اینکه امپاتی در هنگام راهاندازی ، خودکار به حساب شما وارد شود یا خیر .
this option will connect to the server using an anonymous login .   ,این گزینه با استفاده از ورود گمنامانه به سیستم به کارگزار متصل خواهد شد .
unlimited redeals ,کارتگیری های نامحدود
eye of gnome ,چشم گنوم
p ,ت
translator -  credits ,روزبهپورنادربهدادپورنادرالنازسربر میلاد زکریا
empty page ,صفحهی خالی
ch aracter set  :    ,تنظیم نویسهگان :
send video ,فرستادن ویدیو
description of an object    formatted for assistive technology access ,شرح یک شیا ، که برای دسترسی به فناورییاریدهندهقالببندی شده
position on the screen of the accounts window ,موقعیتپنجرهی اصلی روی صفحهی نمایش
send email to address    ,ارسال نامه الکترونیکی به نشانی « »
decline ,چشمپوشی
move the selected image to the trash folder ,جابهجایی تصویر انتخاب شده بهپوشهی زباله دان
enable   '   fast start  '    ,به کار انداختن « اغاز سریع »
suggestion   error description  :    ,پیشنهاد شرح خطا :
the specified contact is either invalid or unknown ,اشنای مشخص شده یا نامعتبر است یا ناشناس
0  :    56kbps    1  :    isdn    2  :    dsl128    3  :    dsl512    4  :    lan    5  :    custom ,1 : 56کیلوبایت ثانیه ، 2 : isdn ، 3 : dsl ، 4 : lan ، 5 : custom
leave fullscreen ,خارج شدن ازحالتتمامصفحه
cannot verify message signature  :    ,نمیتوان امضای پیغام را تایید کرد : قالب پیغام نادرست است
save current project ,ذخیره پروژهی فعلی
start an instance in netbank mode ,شروع یک نمونه در حالت شبکهبانکی
encrypting message ,در حال رمزنگاری پیغام
save a copy of document    before closing ?   ,قبل از بستن ، یک رونوشت از سند « » ذخیرهشود ؟
the size of the remote video window ,اندازهیپنجرهیویدیوی دوردست
user directories ,شاخه های کاربر
view the dialpad ,نمایش شمارهگیر
start in wide mode ,راهاندازی در حالت گسترده
to pics  :    ,موضوعات :
not embedded ,غیر توکار
 use image as background ,استفاده از تصویر به عنوان پسزمینه
some information you see or enter will be sent over an insecure connection    and could easily be intercepted by a third party .   ,بعضی از اطلاعاتی که میبینید یا وارد میکنید از طریق یک اتصال ناامن فرستاده میشود ، و به راحتی میتواند توسط طرف سومی به طور مخفیانه شنیدهشود .
a value greater than 0 determines the seconds an image stays on screen until the next one is shown automatically .   zero disables the automatic browsing .   ,مقدار بزرگ تر از صفر ثانیه هایی را معین میکند که تصویر ، پیش از ان که تصویر بعدی به طور خودکار نمایش دادهشود ، روی صفحه باقی میماند . صفر مرور خودکار را از کار میاندازد .
 bookmark link ,چوبالفگذاری پیوند
unknown command  ;    see  help for the available commands ,دستور ناشناخته ؛ help را برای دیدن دستورهای موجود ببینید
start index ,نمایهاغاز
keep current settings ,حفظ تنظیمات فعلی
path of the adium theme to use if the theme used for chat is adium .   ,مسیر تمadium برای استفاده چناچه تم مورد استفاده برای گپadiumباشد .
start presentation ,اغاز ارایه
contact comes online ,اشنا برخط میشود
layered pane ,قاب لایهدار
next ,بعدی
running in presentation mode ,در حال اجرا در حالت ارایه hit ( s ) onthispage
place the ten of hearts next to the nine of hearts .   ,انتقال a بر روی نه دل .
move  a onto the eight of spades .   ,انتقال a بر روی هشت پیک .
remove the twos ,حذف دوها
sequence ,دنبالهprefdlgslideswitchprefix
100%  ,٪ 100
if you close this window    the downloads will be cancelled ,اگر این پنجره را ببندی ، بارگیری ها لغو خواهند شد
file f ormat  :    ,قالب پرونده :
show button ,دکمه ها
web development ,محتویات وب
  (  library )   ,( کتابخانه )
location  :    ,مجموعه
statistics ,امارها
   denied access to port    .   ,« » دستیابی به درگاه « » را ممنوع کرد .
whether to show a popup notification when receiving a new message .   ,اینکه هنگام دریافت یک پیام جدید ، یکاطلاعیهیواشو نمایش دادهشود یا خیر .
german ,المانی
show the selected bookmark on a toolbar ,نشان دادن چوبالف انتخاب شده در نوار ابزار
 -   empathy authentication client ,کارگیر تصدیق هویت امپاتی
check new messages for  junk contents ,بررسیپیغام های جدید به دنبال محتویاتاش غال
swap camera ,جایجایی دوربین
set as  desktop background ,قرار دادن به عنوانپسزمینهی میزکار
smooth images when zoomed  out ,هموار کردن تصویرها هنگام کوچکنمایی
download finished ,بارگیری پیوند of
dvd -  r dual layer ,dvdr دو لایه
you are about to select another account    which will discard your changes .   are you sure you want to proceed ?   ,شما درحال انتخاب حساب دیگری هستید ، که این کار تغییرات شما را نادیده خواهد گرفت . ایامطمینیدکه میخواهید ادامه دهید ؟
move waste to stock ,جابهجایی کارت های باقیمانده به موجودی
no team for locale  ,هیچ تیمی برای محل
video resolution ,تفکیکپذیریویدیو
  '     '    exited with signal   :    mail not sent .   ,sendmail با علامت خارج شد : نامه ارسال نشد
