English,Persian
do you want to create other chat accounts ?   ,ایا میخواهید حساب های گپ دیگری هم بسازید ؟
enter the details for the new account ,جزییات حساب جدید را وارد کنید
with empathy you can chat with people online nearby and with friends and colleagues who use google talk    aim    windows live and many other chat programs .   with a microphone or a webcam you can also have audio or video calls .   ,با امپاتی میتوانید با دیگران به صورت بر خط گپ بزنید و با دوستان و همدوره ای هایی که از گوگلتاک ، aim ، ویندوز لایو و خیلی برنامه های گپ دیگر استفاده میکنند ارتباط داشته باشید . با یک میکروفون یا یک وبکم میتوانید صدا و تصویر ویدیویی هم داشته باشید .
do you have an account you  '   ve been using with another chat program ?   ,ایاحسابی دارید که با برنامهی گپ دیگری از ان استفاده میکرده اید ؟
yes    import my account details from ,بله ، جزییات حساب مرا وارد کن از
yes    i  '   ll enter my account details now ,بله ، جزییات حسابم را هم اکنون وارد خواهم کرد
no    i want a new account ,خیر ، حساب جدیدی میخواهم
no    i just want to see people online nearby for now ,خیر ، الان فقط میخواهم افراد برخط دور و بر را ببینم
select the accounts you want to import  :    ,حساب هایی که میخواهید وارد کنید را انتخاب کنید :
yes ,بله
no    that  '   s all for now ,خیر ، فعلا کافیه
empathy can automatically discover and chat with the people connected on the same network as you .   if you want to use this feature    please check that the details below are correct .   you can easily change these details later or disable this feature by using the   '   accounts  '    dialog ,امپاتی میتواند به طور خودکار افراد اطراف روی یک شبکه را پیدا کرده و با ان هاگپ بزند . اگر میخواهید این قابلیت استفاده کیند ، بررسی کنید که جزییات زیر درست باشند . بعدا میتوانید این جزییات را به اسانی تغییر دهید یا با استفاده محاورهی « حساب ها » این قابلیت را غیر فعال کنید
edit -   accounts ,ویرایش حساب ها
i do  not want to enable this feature for now ,نمیخواهم فعلا این قابلیت را فعلا فعال کنم
you won  '   t be able to chat with people connected to your local network    as telepathy -  salut is not installed .   if you want to enable this feature    please install the telepathy -  salut package and create a people nearby account from the accounts dialog ,چونtelepathysalut نصب نیست ، شما نخواهید توانست با افراد متصل به شبکهی محلی خودتان گپ بزنید . اگر میخواهید این قابلیت را به کار اندازید ، لطفا بستهیtelepathysalut را نصب کنید و درمحاورهیحساب ها یک حساب « افراد دور و بر » ایجاد کنید
telepathy -  salut not installed ,مورد telepathysalut نصب نشده است
messaging and voip accounts assistant ,دستیار حساب هایپیامرسانو voip
welcome to empathy ,به امپاتیخوشامدید
import your existing accounts ,وارد کردن حساب های موجود شما
please enter personal details ,لطفا جزییات شخصی را وارد کنید
there are unsaved modifications to your  account .   ,تغییرات ذخیره نشده برای حساب شما وجود دارد .
your new account has not been saved yet .   ,حساب جدید شما هنوز ذخیره نشده است .
connecting ,در حال اتصال
offline    ,برونخط
disconnected    ,قطع شد
offline   no network connection ,برونخط هیچ اتصال شبکه ای نیست
unknown status ,وضعیت ناشناخته
offline   account disabled ,برونخط حساب غیرفعال شد
you are about to create a new account    which will discard your changes .   are you sure you want to proceed ?   ,شما درحال ایجاد یک حساب جدید هستید ، این کار تغییرات شما را نادیده خواهد گرفت . ایامطمینید که میخواهید ادامه دهید ؟
do you want to remove  from your computer ?   ,ایا میخواهید را از رایانهتان حذف کنید ؟
this will not remove your account on the server .   ,این کار حساب شما بر روی کارگزار را پاک نخواهد کرد .
you are about to select another account    which will discard your changes .   are you sure you want to proceed ?   ,شما درحال انتخاب حساب دیگری هستید ، که این کار تغییرات شما را نادیده خواهد گرفت . ایامطمینیدکه میخواهید ادامه دهید ؟
 enable ,فعالکردن
 disable ,غیرفعالکردن
you are about to close the window    which will discard your changes .   are you sure you want to proceed ?   ,شما درحالبستن پنجره هستید ، که این کار تغییرات شما را نادیده خواهد گرفت . ایامطمینید که میخواهید ادامه دهید ؟
 add ,افزودن
protocol  :    ,قرارداد :
to add a new account    you first have to install a backend for each protocol you want to use .   ,برای افزودن حساب جدید ، اول از همه باید پسانهی لازم برای هر قراردادی را که میخواهید استفاده کنید ، نصب کنید .
no protocol installed ,قراردادی نصب نشده است
loading account information ,بارگیری اطلاعات حساب
 -   empathy authentication client ,کارگیر تصدیق هویت امپاتی
empathy authentication client ,کارگیر تصدیق هویت امپاتی
 -   empathy audio video client ,کارگیر صوتی تصویری امپاتی
empathy audio video client ,کارگیر صوتی تصویری امپاتی
contrast ,سایه روشن تصویر
brightness ,روشنی
gamma ,گاما
volume ,بلندی صدا
 sidebar ,نوار جانبی
audio input ,ورودی صدا
video input ,ورودی ویدیو
call with  ,تماس با
call ,تماس
the ip address as seen by the machine ,نشانی ip همانطورکه توسط ماشین دیده میشود
the ip address as seen by a server on the internet ,ادرسip همانطورکه توسط کارگزار روی اینترنت دیده میشود
the ip address of the peer as seen by the other side ,ادرسip مربوط بهpeer همانطورکه توسط طرف مقابل دیده میشود
the ip address of a relay server ,ادرسip مربوط به سرور بازپخش
the ip address of the multicast group ,ادرسip مربوط به گروه چندگانه
connected     :   % 02dm ,متصل شد : 02dm
technical details ,جزییات فنی
  '   s software does not understand any of the audio formats supported by your computer ,نرمافزار هیچکدام از قالب های صوتی پشتیبانی شده توسط رایانهی شما را تشخیص نمیدهد
  '   s software does not understand any of the video formats supported by your computer ,نرمافزار هیچکدام از قالب های ویدیویی پشتیبانی شده توسط رایانهی شما را تشخیص نمیدهد
can  '   t establish a connection to  .   one of you might be on a network that does not allow direct connections .   ,نمیتوان ارتباطی به برقرار کرد . ممکن است یکی از شما در شبکه ای باشد که اجازهی اتصال مستقیم را نمیدهد .
there was a failure on the network ,یک خرابی در شبکهبوجودامده بود
the audio formats necessary for this call are not installed on your computer ,قالب های صوتی لازم برای برقراری این تماس روی رایانهی شما نصب نشدهاند
the video formats necessary for this call are not installed on your computer ,قالب های ویدیویی لازم برای برقراری این تماس روی رایانهی شما نصب نشدهاند
something unexpected happened in a telepathy component .   please report this bug and attach logs gathered from the   '   debug  '    window in the help menu .   ,اتفاقی ناخواسته در یکمولفهیتلهپاتی رخ داد . لطفا این ایراد را گزارش دهید و ثبت وقایع جمع اوری شده ازپنجرهیاشکالزدایی در منوی راهنما ، را پیوست کنید .
there was a failure in the call engine ,یک خرابی در موتور تماسبوجودامده بود
the end of the stream was reached ,به انتهای جریان رسیدیم
can  '   t establish audio stream ,نمیتوان جریان صوتی را برقرار کرد
can  '   t establish video stream ,نمیتوان جریان ویدیویی را برقرار کرد
 call ,تماس
hang up ,قطع کردن
redial ,تماس دوباره
v ideo ,ویدیو
video off ,خاموش کردن ویدیو
video on ,روشن کردن ویدیو
hang up current call ,تماس جاری قطع شود
call the contact again ,دوباره با اشنای مورد نظر تماس گرفته شود
send audio ,فرستادن صدا
toggle audio transmission ,تغییر حالت ارسال صدا
camera off ,خاموش کردن دوربین
disable camera and stop sending video ,دوربین از کار بیافتد و فرستادن ویدیو متوقف شود
preview ,پیشنمایش
enable camera but don  '   t send video ,دوربین به کار بیافتد ولی ویدیو فرستاد نشود
camera on ,روشن کردن دوربین
enable camera and send video ,دوربین به کار بیافتد و ویدیو ارسال شود
encoding codec  :    ,رمزنگاریکدک :
decoding codec  :    ,رمزگشاییکدک :
remote candidate  :    ,کاندیدای دوردست :
local candidate  :    ,کاندیدای محلی :
typing a message .   ,درحالتایپ یک پیام .
 conversation ,گفتگو
c lear ,پا ک کردن
insert  smiley ,درج صورتک
 favorite chat room ,اتاق گپ مورد پسند
notify for all messages ,برای همهی پیام ها اخطار داده شود
 show contact list ,نمایش فهرست اشنایان
invite  participant ,دعوت شرکتکننده
c ontact ,ا شنا
 tabs ,زبانه ها
 previous tab ,زبانهی قبلی
 next tab ,زبانهی بعدی
 undo close tab ,برگردان بستن زبانه
move tab  left ,جابهجایی زبانه به چپ
move tab  right ,جابهجایی زبانه به راست
 detach tab ,جداکردن زبانه
chat ,گپ
room ,اتاق
auto -  connect ,اتصال خودکار
manage favorite rooms ,مدیریت اتاق های مورد پسند
incoming video call ,در حال دریافت تماس ویدیویی
incoming call ,در حال دریافت تماس
 is video calling you .   do you want to answer ?   ,فرد تماس ویدیویی با شما گرفته است ، ایا جواب میدهید ؟
 is calling you .   do you want to answer ?   ,فرد با شما تماس گرفته است ، ایا جواب میدهید ؟
incoming call from  ,در حال دریافت تماس از
 reject ,رد
 answer ,پاسخگویی
incoming video call from  ,ویدیو ورودی از
room invitation ,دعوتنامهی اتاق
invitation to join  ,دعوتنامه برای پیوستن به
 is inviting you to join  ,اشنای از شما دعوت میکند تا به بپیوندید
 decline ,چشمپوشی
 join ,پیوستن
 invited you to join  ,اشنای از شما دعوت کرد تا به بپیوندید
you have been invited to join  ,شما دعوت شده اید تا به بپیوندید
incoming file transfer from  ,پروندهی دریافت شده از
password required ,گذرواژه لازم است
 would like permission to see when you are online ,اشنا اجازه میخواهد تا ببیند چه زمانی برخط هستید
message  :     ,پیام :
  :   % 02u .  % 02u ,: 02u . 02u
% 02u .  % 02u ,02u . 02ufiletransferpercent
 of  at  s ,مقدار از در ثانیه
 of  ,از
"receiving  ""   ""   from  ",در حال دریافت « » از
"sending  ""   ""   to  ",در حال فرستادن « » به
"error receiving  ""   ""   from  ",خطا در هنگام دریافت « » از
error receiving a file ,خطا در دریافت یک پرونده
"error sending  ""   ""   to  ",خطا در هنگام ارسال « » به
error sending a file ,خطا در فرستادن یک پرونده
" ""   ""   received from  ",پروندهی « » از دریافت شد
" ""   ""   sent to  ",پروندهی « » به فرستاده شد
file transfer completed ,انتقال پرونده کامل شد
waiting for the other participant  '   s response ,در حال انتظار برای گرفتن جواب دیگر شرکت کنندگان
"checking integrity of  ""   ""   ",ازمایشدرستی « »
"hashing  ""   ""   ",در حال درهم کردن « »
remaining ,باقی مانده
file transfers ,انتقال پرونده ها
remove completed    canceled and failed file transfers from the list ,انتقال های کامل شده ، لغو شده و خراب شده از فهرست حذف شوند
no accounts to import could be found .   empathy currently only supports importing accounts from pidgin .   ,هیچ حسابی برای وارد کردن پیدا نشد . امپاتی در حال حاظرتنها وارد کردن حساب ها از پیجین را پشتیبانی میکند .
import accounts ,وارد کردن حساب ها
import ,وارد کردن
protocol ,قرارداد
source ,منبع
provide password ,فراهم کردن گذرواژه
disconnect ,قطع اتصال
no match found ,هیچ مطابقتی پیدا نشد
reconnect ,اتصال مجدد
edit account ,ویرایش حساب
contact ,تماس
contact list ,فهرست اشناها
show and edit accounts ,نمایش و ویرایش حساب ها
 new conversation ,گفتگوی جدید
new  call ,تماس جدید
 search for contacts ,جستجو برای اشناها
 file transfers ,انتقال پرونده ها
 offline contacts ,اشناهایبرونخط
show p rotocols ,نشان دادن قراردادها
contacts on a  map ,اشناها روی یک نقشه
 accounts ,حساب ها
 personal information ,اطلاعات شخصی
 blocked contacts ,اشناهای مسدود شده
find in contact  list ,جستجو در فهرست اشناها
sort by  name ,مرتبسازی بر اساس نام
sort by  status ,مرتبسازی بر اساس وضعیت
normal size with  avatars ,اندازهی عادی به همراه ا واتار
n ormal size ,اندازهی معمولی
 compact size ,اندازهی فشرده
 room ,اتاق
join  favorites ,پیوستن به فهرست علاقهمندی ها
manage favorites ,مدیریت علاقهمندی ها
 debug ,اشکالزدایی
chat room ,اتاق گپ
members ,اعضا
 invite required  :     password required  :     members  :     ,نیاز به دعوتنامه : نیاز به گذرواژه : اعضا :
no ,خیر
could not start room listing ,شروع به فهرست کردن اتاق ممکن نبود
could not stop room listing ,توقف فهرست کردن اتاق امکانپذیر نشد
join room ,پیوستن به اتاق
enter the room name to join here or click on one or more rooms in the list .   ,نام اتاق را اینجا وارد کنید تا بهانبپیوندید یا روی یک یا تعدادی از موارد فهرست کلیک کنید .
 room  :    ,اتاق :
enter the server which hosts the room    or leave it empty if the room is on the current account  '   s server ,نام کارگزاری را که اتاق را میزبانی میکند را وارد کنید ، یا ان را خالی بگذارید چناچه اتاق بر روی کارگزار حساب جاری است
couldn  '   t load room list ,فهرست اتاق بارگیری نشد
room list ,فهرست اتاق
message received ,پیام دریافت شد
message sent ,پیام فرستادهشده
contact goes online ,اشنا برخط میشود
contact goes offline ,اشنا برونخط میشود
account connected ,حساب متصل شد
account disconnected ,حساب قطع شد
show  smileys as images ,نمایش صورتک ها به صورت تصویر
show contact  list in rooms ,نمایش فهرست اشناها در اتاق ها
 open new chats in separate windows ,گپ های جدید در پنجره های مجزا باز شوند
display incoming events in the notification area ,رویداد های ورودی در منطقهی اطلاعیه ها نشان داده شوند
 automatically connect on startup ,اتصال خودکار در هنگام راهاندازی اولیه
log conversations ,ثبت وقایع مکالمات
behavior ,رفتار
 enable bubble notifications ,فعال کردن اطلاعیه های حبابی
disable notifications when  away or busy ,در حالت « غایب » یا « مشغول » اطلاعیه ها از کار بیافتند
enable notifications when the  chat is not focused ,وقتی تمرکز برپنجرهیگپ نیست ، اطلاعیه ها به کار بیافتد
enable notifications when a contact comes online ,وقتیاشنایی برخط میشود ، اطلاعیه ها به کار افتد
enable notifications when a contact goes offline ,وقتیاشنایی برونخط میشود ، اطلاعیه ها به کار افتد
notifications ,اطلاعیه ها
 enable sound notifications ,فعال کردن اطلاعیه های صوتی
disable sounds when  away or busy ,در حالت « غایب » یا « مشغول » صداها از کار بیافتند
play sound for events ,پخش صدا برای رویدادها
sounds ,صداها
 publish location to my contacts ,انتشار مکان برای اشناهای من
reduced location accuracy means that nothing more precise than your city    state and country will be published .   gps coordinates will be accurate to 1 decimal place .   ,« دقت کاهش یافتهی مکان » به این معناست که هیچ چیزی دقیق تر از شهر ، ایالت و کشور منتشر نخواهد شد . مختصات هایموقعیتیاب جغرافیایی ( gps ) به میزان یک رقم اعشار دقیق خواهند بود .
 reduce location accuracy ,کاهش دقت مکان
privacy ,حریم خصوصی
 gps ,موقعیتیاب جغرافیایی ( gps )
 cellphone ,موبایل
 network  (  ip    wi -  fi )   ,شبکه ( ip ، wifi )
location sources  :    ,منابع مکان ها :
the list of languages reflects only the languages for which you have a dictionary installed .   ,فهرست زبان هایی که اینجا امدهاندتنها شامل زبان هایی است که شما برایشان لغتنامه نصب کرده اید .
enable spell checking for languages  :    ,غلطیاباملایی به کار افتد برای زبان :
spell checking ,غلطیاب املایی
chat th eme  :    ,تم گپ :
themes ,تم ها
contact map view ,نمایشنقشهی اشنایان
debug window ,پنجره اشکالزدایی
level ,سطح
debug ,اشکالزدایی
info ,اطلاعات
message ,پیغام
warning ,اخطار
critical ,حیاتی
error ,خطا
domain ,دامنه
category ,دستهبندی
the selected connection manager does not support the remote debugging extension .   ,مدیر اتصال انتخاب شده ، ازافزونهیاشکالزدایی دوردست پشتیبانی نمیکند .
invite participant ,دعوت از شرکتکنندگان
choose a contact to invite into the conversation  :    ,اشنایی انتخاب کنید تا به گفتگو دعوت شود :
invite ,دعوت
don  '   t display any dialogs  ;    do any work  (  eg    importing )   and exit ,هیچ محاوره ای نشان نده ؛ کاری هم نکن ( مثل وارد کردن ) و خارج شو
"don  '   t display any dialogs unless there are only  ""  people nearby ""   accounts ",هیچ محاوره ای را نشان نده فقط زمانی که حساب « افراد دور و بر » باشد
initially select given account  (  eg    gabble jabber foo 40example 2eorg0 )   ,در اغاز حساب داده شده انتخاب شود ( مثلgabblejabberfoo40example2eorg0 )
 -   empathy accounts ,حساب های امپاتی
empathy accounts ,حساب های امپاتی
empathy debugger ,اشکالزدایامپاتی
 -   empathy chat client ,کارگیرگپ امپاتی
respond ,پاسخ
answer ,پاسخ
decline ,چشمپوشی
missed call from  ,تماس از دست رفته از
 just tried to call you    but you were in another call .   ,لحظاتی پیش سعی کرد تا با شما تماس بگیرد ، ولی شما در یک تماس دیگر بودید .
chat  ;   talk  ;   im  ;   message  ;   irc  ;   voip  ;   gtalk  ;   facebook  ;   jabber  ;    ,chat ؛ talk ؛ im ؛ message ؛ irc ؛ voip ؛ gtalk ؛ facebook ؛ jabber ؛ گپ ؛ گفتگو ؛ پیامرسان ؛ پیام ؛ فیسبوک ؛
magic number used to check if sanity cleaning tasks should be run ,عدد جادویی برای بررسی وضعیت پاکسازی جهت اجرا
empathy -  sanity -  cleaning .  c uses this number to check if the cleaning tasks should be executed or not .   users should not change this key manually .   ,پروندهempathysanitycleaning . c این عدد را بررسی میکند تا متوجه شود که پاکسازی باید اجرا شود یا خیر . کاربران نباید این کلید را بصورت دستی تغییر دهند .
show balance in contact list ,نمایش اعتبار در فهرست اشناها
whether to show account balances in the contact list .   ,اینکه در فهرست اشناها ، اعتبار حساب ها نمایش دادهشود یا خیر .
show contact groups ,نمایش گروه اشناها
whether to show groups in the contact list .   ,اینکه ایا در فهرست اشناها گروه ها نمایش دادهشود یا نه .
whether to play a sound to notify of events .   ,اینکه برای اطلاع رویدادها صدایی پخش بشود یا خیر .
chat window theme variant ,گزینه های تمپنجرهی گپ
the theme variant that is used to display the conversation in chat windows .   ,گزینهتمی که برای نمایش گفتگو پنجرهگپ استفاده میشود .
path of the adium theme to use if the theme used for chat is adium .   deprecated .   ,مسیر تمadium برای استفاده چناچه تم مورد استفاده برای گپadiumباشد . منسوخ شده .
inform other users when you are typing to them ,هنگامی که شما در حال تایپ هستید به کاربران دیگر اطلاع داده شود
whether to send the   '   composing  '    or   '   paused  '    chat states .   does not currently affect the   '   gone  '    state .   ,اینکه ایا وضعیت های « درحال ارسال » یا « مکث » ارسال شود یا نه . درحالحاضر در وضعیت « غایب » تاثیری ندارد .
whether to use the theme for chat rooms .   ,اینکه از تم برای اتاق های گپ استفاده شود یا خیر .
last account selected in join room dialog ,اخرین حساب انتخاب شده در محاورهی « پیوستن به اتاق »
d -  bus object path of the last account selected to join a room .   ,مسیر شی در dbus برای اخرین حساب انتخاب شده برای پیوستن به یک اتاق .
camera device ,دوربین
default camera device to use in video calls    e .  g .    dev video0 .   ,دستگاه دوربین پیشفرض جهت استفاده در تماس های ویدیویی ، مثالdevvideo0 .
camera position ,محل دوربین
position the camera preview should be during a call .   ,موقعیتی که پیشنمایش دوربین باید در حین تماس انجاباشد .
echo cancellation support ,پشتیبانی از لغو پژواک صدا
whether to enable pulseaudio  '   s echo cancellation filter .   ,اینکه ایا فیلتر لغو پژواک صدای pulseaudio فعال شود یا خیر .
called  ,تماس به
offline ,برونخطpresence
this account is already connected to the server ,این منبع از قبل به کارگزار متصل شده است
your software is too old ,نرمافزار شما خیلی قدیمی است
internal error ,خطا داخلی
all accounts ,تمام حساب ها
authentication failed for account  ,تایید هویت برای حساب شکست خورد
there was an error starting the call ,خطایی در هنگام شروع تماس بود
the specified contact doesn  '   t support calls ,اشنای مشخص شده از تماس پشتیبانی نمیکند
the specified contact is offline ,اشنای انتخاب شده برونخط است
the specified contact is not valid ,اشنای انتخاب شده صحیح نیست
emergency calls are not supported on this protocol ,تماس های اضطراری بر روی این پروتکل پشتیبانی نمیشوند
you don  '   t have enough credit in order to place this call ,شما اعتبار کافی برای برقرار این تماس را ندارید
invalid contact id ,شناسهاشناینامعتبر
 whois   :    display information about a contact ,whois : نمایش اطلاعات در خصوص یک اشنا
insufficient balance to send message ,مانده اعتبار برای ارسای پیام کافی نیست
error sending message  :     ,خطا در فرستان پیام :
insufficient balance to send message .   top up .   ,مانده اعتبار برای ارسال پیام کافی نیست . بالا بردن .
not capable ,قابلیت لازم را ندارد
topic set by  to  :     ,سرفصل توسط تنظیم شد :
conversation ,گفتگوeschercat ( sms )
  (  sms )   ,( اساماس )
blocked contacts ,اشناهای مسدود شده
remove ,حذف
contact search is not supported on this account ,در این حساب جستجو اشنا پشتیبانی نمیشود
your message introducing yourself  :    ,پیام شما برای معرفی خودتان :
please let me see when you  '   re online .   thanks   ,لطفا اجازه بدهید بدانم چه زمانی برخط هستید . تشکر
identifier ,شناسه
alias ,نام مستعار
os ,سیستم عامل
version ,نسخه
client ,کارگیر
gnome -  contacts not installed ,برنامهیgnomecontacts نصب نشده است
please install gnome -  contacts to access contacts details .   ,لطفاgnomecontacts را برای دسترسی به جزییات اشناها نصب کنید .
select account to use to place the call ,یک حساب جهت استفاده برای برقراری ارتباط انتخاب کنید
mobile ,تلفن همراه
work ,شغل
call  ,تماس به
remove from  group   '     '    ,حذف از گروه « »
 chat ,گپ
 sms ,اساماسmenuitem
 audio call ,تماس صوتی
infor mation ,اطلاعاتeditindividual ( contextualmenu )
re name ,تغییر نام
channels  :    ,کانال ها :
empathy can automatically discover and chat with the people connected on the same network as you .   if you want to use this feature    please check that the details below are correct .   ,امپاتی میتواند به طور خودکار افرادی که بر روی شبکه مشابه هستند را پیدا کند تا با ان هاگپ بزنید . اگر میخواهید از این قابلیت استفاده کنید ، بررسی کنید که جزییات زیر درست باشند .
you can change these details later or disable this feature by choosing edit   accounts in the contact list .   ,شما میتوانید این جزییات را بعدا تغییر دهید یا این امکان را با انتخاب ویرایش حساب ها در فهرست اشناها غیرفعال کنید .
history ,تاریخچه
chat in  ,گپ در
chat with  ,گپ باdatewiththetime
call took     ended at  ,تماس در گرفته شد ، در پایان یافت
today ,امروز
yesterday ,دیروز
anytime ,هرزمانی
anyone ,هرکسی
who ,چه کسی
when ,چه زمانی
anything ,هرچیزی
text chats ,گپ های متنی
calls ,تماس ها
incoming calls ,تماس های ورودی
outgoing calls ,تماس خروجی
missed calls ,تماس های از دست رفته
what ,کدام
are you sure you want to delete all logs of previous conversations ?   ,ایامطمینید که میخواهید تمام وقایع ثبت شده گفتگوهای قبلی را حذف کنید ؟
clear all ,پاک کردن همه
delete from  :    ,پاک کردن از :
delete all history ,پاک کردن تمام تاریخچه
profile ,مجموعه تنظیمات
page 2 ,صفحه 2
loading ,بارگیری
add new account ,اضافه کردن حساب جدید
enter a contact identifier or phone number  :    ,شناسهی یک اشنا یا شماره تلفناش را وارد کنید :
the contact is offline ,اشنابرونخط است
the specified contact is either invalid or unknown ,اشنای مشخص شده یا نامعتبر است یا ناشناس
the contact does not support this kind of conversation ,اشنا از این نوع گفتگو پشتیبانی نمیکند
the requested functionality is not implemented for this protocol ,عملکرد درخواست شده برای این پروتکل اجرایی نشده است
could not start a conversation with the given contact ,نمیتوان گفتگوای را با اشنا وارد شده اغاز کرد .
you are banned from this channel ,ورود شما به این کانال توقیف شده است
this channel is full ,این کانال پر است
you must be invited to join this channel ,شما باید به این اتاق دعوت شده باشید تا بهانبپیوندید
can  '   t proceed while disconnected ,نمیتوان هنگام قطع ارتباط ادامه داد
there was an error starting the conversation ,خطایی در هنگام شروع گفتگو رخ داد
current message  :     press enter to set the new message or esc to cancel .   ,پیام فعلی : لطفا کلید اینتر را برای ثبت پیام بزنید یا برای لغو کلید esc را بزنید
custom messages ,پیام های دلخواه
 match case ,تطابق کوچک و بزرگی حروف
 previous ,قبلی
 next ,بعدی
mat ch case ,تطابق کوچک و بزرگی حروف
 accept ,پذیرش
message edited at  ,پیام ویرایش شده در
normal ,معمولی
untrusted connection ,اتصال غیرقابل اعتماد
inspect html ,بررسی html
top contacts ,اشناهای برتر
ungrouped ,از گروه خارج شده
server cannot find contact  :     ,کارگزار نمیتواند اشنا را پیدا کند :
there are unsaved modifications to your %  .  50s account .   ,تغییرات ذخیره نشده برای حساب٪ . 50s شما وجود دارد .
this account has been disabled because it relies on an old    unsupported backend .   please install telepathy -  haze and restart your session to migrate the account .   ,این حساب به دلیل استفاده از یک پسانهی قدیمی و پشتیبانی نشده غیرفعال شده است . لطفاtelepathyhaze را نصب و نشست را مجددا راهاندازی کنید تا حساب منتقل شود .
edit connection parameters ,ویرایش پارامترهای اتصال
 edit connection parameters ,ویرایش پارامترهای اتصال
do you want to remove %  .  50s from your computer ?   ,ایا میخواهید ٪ . 50s را از رایانهتان حذف کنید ؟
 enabled ,فعال شده
rename ,تغییر نام
 skip ,نادیده گرفتن
 connect ,اتصال
add ,افزودن
no protocol backends installed ,هیچ پسانهی قراردادی نصب نشده است
in a call ,در تماس
on hold ,نگه داشتن پشت خط
mute ,بیصدا
duration ,مدت
     :   % 02dm ,: 02dm
your current balance is  .   ,اعتبار فعلی شما .
sorry    you dont have enough credit for that call .   ,متاسفم ، شما برای این تماس اعتبار کافی ندارید .
top up ,بالا بردن
 microphone ,میکروفون
 camera ,دوربین
 settings ,تنظیمات
 gstreamer ,gstreamer
 telepathy ,telepathy
swap camera ,جایجایی دوربین
minimise me ,حداقل کردن من
maximise me ,حداکثر کردن من
disable camera ,غیرفعالکردن دوربین
video call ,تماس ویدیویی
start a video call ,شروع یک تماس ویدیویی
start an audio call ,شروع یک تماس صوتی
show dialpad ,نمایش شمارهگیر
display the dialpad ,نمایش صفحه شمارهگیر
toggle video transmission ,تغییر حالت ارسال ویدیو
close this window ?   ,بستن این پنجره ؟
closing this window will leave  .   you will not receive any further messages until you rejoin it .   ,بستن این پنجره را ترک میکند . شما هیچ پیام دیگری تا زمان پیوستن مجدد دریافت نخواهید کرد .
leave  ?   ,ترک ؟
you will not receive any further messages from this chat room until you rejoin it .   ,شما هیچ پیام دیگری تا زمان پیوستن مجدد دریافت نخواهید کرد .
close window ,بستن پنجره
leave room ,ترک اتاق
sms  :    ,اساماس :
 join chat ,پیوستن به گپ
le ave chat ,ترک گپ
show a particular service ,نمایش یک سرویس خاص
 -   empathy debugger ,اشکالزدایامپاتی
pastebin link ,پیوند pastebin
pastebin response ,پاسخ pastebin
data too large for a single paste .   please save logs to file .   ,داده ها برای یک ارسال بسیار بزرگ است . لطفا رویدادها را بر روی یک پرونده ذخیرهکنید .
send to pastebin ,ارسال به pastebin
even if they don  '   t display passwords    logs can contain sensitive information such as your list of contacts or the messages you recently sent or received .   if you don  '   t want to see such information available in a public bug report    you can choose to limit the visibility of your bug to empathy developers when reporting it by displaying the advanced fields in the bug report .   ,حتی اگر گذرواژه ها را نمایش ندهند ، وقایع ممکن است حاوی اطلاعات حساسی نظیر فهرست اشنایان شما یا پیام هایی که اخیرا ارسال و دریافت کرده اید باشند . اگر نمیخواهید این اطلاعات در یک گزارش باگ عمومی قابل دیدن باشند ، میتوانید نمایش باگ خود را با استفاده از نمایش فیلدهای پیشرفته در گزارش باگ محدود بهتوسعهدهندگانامپاتیکنید .
 answer with video ,پاسخگویی با ویدیو
failed to list rooms ,فهرست کردن اتاق ها شکست خورد
enter the server which hosts the room    or leave it empty if the room is on the current accountapos  ;   s server ,نام کارگزاری که اتاق را میزبانی میکند را وارد کنید ، یا ان را خالی بگذارید چناچه اتاق بر روی کارگزار حساب جاری است
answer with video ,پاسخگویی با ویدیو
provide ,فراهم کردن
contact comes online ,اشنا برخط میشود
juliet ,مرد مست
romeo ,شازده کوچولو
o romeo    romeo    wherefore art thou romeo ?   ,چه کار داری میکنی ؟
deny thy father and refuse thy name  ;    ,می میزنم .
or if thou wilt not    be but sworn my love ,می میزنی که چی ؟
and i  '   ll no longer be a capulet .   ,که فراموشکنم .
shall i hear more    or shall i speak at this ?   ,چی رو فراموش کنی ؟
juliet has disconnected ,ژولیت قطع شده است
show groups ,نمایش گروه ها
show account balances ,نمایش اعتبار حساب
start chats in  :    ,شروع گپ در :
new ta bs ,زبانه جدید
new  windows ,پنجره جدید
use  echo cancellation to improve call quality ,استفاده از لغو پژواک صدا جهت بالا بردن کیفیت تماس
echo cancellation helps to make your voice sound clearer to the other person    but may cause problems on some computers .   if you or the other person hear strange noises or glitches during calls    try turning echo cancellation off and restarting the call .   ,لغو پژواک کمک میکند تا صدای شما برای طرف مقابل واضح تر شنیدهشود ، اما ممکن است باعث بروز مشکلاتی در برخی رایانه ها بشود . اگر شما یا طرف دیگر خشخش یا اشکالاتی را در هنگام تماس میشنوید ، سعی کنید سیستم لغو پژواک را غیرفعال و مجددا تماس را برقرار کنید .
variant  :    ,گزینه :
you need to set up an account to see contacts here .   ,شما باید یک حساب بسازید تا بتوانید اشناهایتان را اینجا ببینید .
sorry     accounts cant be used until your  software is updated .   ,متاسفم ، حساب های تا زمان بروزرسانی نرمافزار قابل استفاده نیست .
windows live ,ویندوز لایو
facebook ,فیسبوک
 account requires authorisation ,حساب احتیاج به تصدیقهویت دارد
online accounts ,حساب های برخط
