English,Persian
"Should brasero filter hidden files. Set to true, brasero will filter hidden files.
","برازرو باید پرونده‌های مخفی را فیلتر کند. اگر بر روی true تنظیم شود، برازرو پرونده‌های مخفی را فیلتر می‌کند.
"
"Replace symbolic links by their targets
","جای‌گزین کردن پیوندهای نمادین با هدف‌هایشان
"
"Should brasero replace symbolic links by their target files in the project. Set to true, brasero will replace symbolic links.
","برازرو باید پیوندهای نمادین را با هدف‌هایشان در پروژه جای‌گزین کند. اگر بر روی true تنظیم شود، برازرو پیوندهای نمادین رابا اهدافشان جای‌گزین می‌کند.
"
"Should brasero filter broken symbolic links
","برازرو باید پیوندهای نمادین خراب را فیلتر کند
"
"Should brasero filter broken symbolic links. Set to true, brasero will filter broken symbolic links.
","برازرو باید پیوندهای نمادین خراب را فیلتر کند. اگر بر روی true تنظیم شود، پیوندهای نمادین خراب را فیلتر می‌کند.
"
"The priority value for the plugin
","مقدار الویت افزونه
"
"Burning flags to be used
","پرچم‌های سوزاندن جهت استفاده
"
"The speed to be used
","سرعتی که باید استفاده شود
"
"Error while blanking.
","خطا در هنگام خالی کردن.
"
"Blank _Again
","خالی کردن _دوباره
"
"Unknown error.
","خطا ناشناس
"
"The disc was successfully blanked.
","خالی کردن دیسک موفقیت‌آمیز بود.
"
"The disc is ready for use.
","دیسک آماده استفاده است.
"
"_Blank
","_خالی کردن
"
"_Fast blanking
","خالی کردن _سریع
"
"Disc Blanking
","درحال خالی‌کردن دیسک
"
"Burning CD/DVD
","در حال سوزاندن سی‌دی/دی‌وی‌دی
"
"The drive is busy
","دیسک‌گردان مشغول است
"
"Make sure another application is not using it
","مطمئن شوید که یک برنامه‌ی دیگر از آن استفاده نمی‌کند
"
"""%s"" cannot be unlocked
","قفل «%s» نمی‌تواند باز باشد
"
"No burner specified
","هیچ سوزاننده‌ای مشخص نشده
"
"No source drive specified
","هیچ دیسک‌گردان مرجعی مشخص نشده
"
"Ongoing copying process
","فرآیند رونوشت در حال پیشرفت
"
"The drive cannot be locked (%s)
","دیسک‌گردان را نمی‌توان قفل کرد (%s)
"
"The drive has no rewriting capabilities
","دیسک‌گردان قابلیت بازنویسی ندارد
"
"Ongoing blanking process
","یک فراروندِ جهت خالی کردن در حال اجرا است
"
"The drive cannot burn
","دیسک‌گردان قابل سوزاندن نیست
"
"Ongoing burning process
","یک فراروندِ سوزاندن در حال اجرا است
"
"Ongoing checksumming operation
","یک عملیات مجموع متقابل (checksumming) در حال اجرا است
"
"Merging data is impossible with this disc
","ادغام اطلاعات در این دیسک ممکن نیست
"
"Not enough space available on the disc
","فضای کافی بر روی دیسک موجود نیست
"
"%s (application)
","%s (برنامه)
"
"%s (library)
","%s (کتابخانه)
"
"%s (GStreamer plugin)
","%s (افزونه‌ی GStreamer)
"
"There is no track to burn
","هیچ شیاری جهت سوزاندن وجود ندارد
"
"Please install the following required applications and libraries manually and try again:
","لطفا نرم‌افزارها و کتابخانه‌های مقابل را بطور دستی نصب کنید و مجددا تلاش کنید:
"
"Only one track at a time can be checked
","تنها یک شیار را در هر لحظه می‌توان بررسی کرد
"
"No format for the temporary image could be found
","هیچ قالبی برای تصویر موقت پیدا نشدgrafted
"
"An internal error occurred
","یک خطای داخلی رخ داد
"
"Brasero notification
","اعلان برازرو
"
"%s (%i%% Done)
","%s (٪%Ii انجام شده)
"
"Creating Image
","در حال ساختن تصویر
"
"Burning DVD
","درحال سوزاندن دی‌وی‌دی
"
"Copying DVD
","درحال رونشت از دی‌وی‌دی
"
"Burning CD
","درحال سوزاندن سی‌دی
"
"Copying CD
","درحال رونوشت از سی‌دی
"
"Burning Disc
","درحال سوزاندن دیسک
"
"Copying Disc
","درحال رونوشت از دیسک
"
"Creating image
","در حال ساختن تصویر
"
"Simulation of video DVD burning
","شبیه‌سازی سوزاندن دی‌وی‌دی ویدئویی
"
"Burning video DVD
","درحال سوزاندن دی‌وی‌دی ویدئویی
"
"Simulation of data DVD burning
","شبیه‌سازی سوزاندن دی‌وی‌دی اطلاعات
"
"Burning data DVD
","درحال سوزاندن دی‌وی‌دی اطلاعات
"
"Simulation of image to DVD burning
","شبیه‌سازی سوزاندن تصویر بر روی دی‌وی‌دی
"
"Burning image to DVD
","درحال سوزاندن تصویر بر روی دی‌وی‌دی
"
"Simulation of data DVD copying
","شبیه‌سازی رونوشت از دی‌وی‌دی اطلاعات
"
"Copying data DVD
","درحال رونوشت از دی‌وی‌دی اطلاعات
"
"Simulation of (S)VCD burning
","شبیه‌سازی سوزاندن (اس)وی‌سی‌دی
"
"Burning (S)VCD
","درحال سوزاندن (اس)وی‌سی‌دی
"
"Simulation of audio CD burning
","شبیه‌سازی سوزاندن سی‌دی صوتی
"
"Burning audio CD
","سوزاندن سی‌دی صوتی
"
"Simulation of data CD burning
","شبیه‌سازی سوزاندن سی‌دی اطلاعات
"
"Burning data CD
","درحال سوزاندن سی‌دی اطلاعات
"
"Simulation of CD copying
","شبیه‌سازی رونوشت از سی‌دی
"
"Simulation of image to CD burning
","شبیه‌سازی سوزاندن تصویر بر روی سی‌دی
"
"Burning image to CD
","سوزاندن تصویر بر روی سی‌دی
"
"Simulation of video disc burning
","شبیه‌سازی سوزاندن دیسک ویدئویی
"
"Burning video disc
","درحال سوزاندن دیسک ویدئویی
"
"Simulation of data disc burning
","شبیه‌سازی سوزاندن دیسک اطلاعات
"
"Burning data disc
","درحال سوزاندن دیسک اطلاعات
"
"Simulation of disc copying
","شبیه‌سازی رونوشت از دیسک
"
"Copying disc
","درحال رونوشت از دیسک
"
"Simulation of image to disc burning
","شبیه‌سازی سوزاندن تصویر بر روی دیسک
"
"Burning image to disc
","سوزاندن تصویر بر روی دیسک
"
"Please replace the disc with a rewritable disc holding data.
","لطفا دیسک را با یک دیسک با قابلیت بازنویسی و حاوی اطلاعات جای‌گزین کنید.
"
"Please replace the disc with a disc holding data.
","لطفا دیسک را با یک دیسک حاوی اطلاعات جای‌گزین کنید.
"
"Please insert a rewritable disc holding data.
","لطفا یک دیسک با قابلیت بازنویسی و حاوی اطلاعات را وارد کنید.
"
"Please insert a disc holding data.
","لطفا یک دیسک حاوی اطلاعات را وارد کنید.
"
"Please replace the disc with a writable CD with at least %i MiB of free space.
","لطفا دیسک را با یک سی‌دی با قابلیت بازنویسی، با حداقل فضای آزاد %Ii مگابایت جای‌گزنین کنید.
"
"Please replace the disc with a writable CD.
","لطفا دیسک را با یک سی‌دی قابل نوشتن تعویض کنید
"
"Please insert a writable CD with at least %i MiB of free space.
","لطفا یک سی‌دی با قابلیت نوشتن و حداقل %Ii مگابایت فضای خالی وارد کنید.
"
"Please insert a writable CD.
","لطفا یک سی‌دی قابل نوشتن وارد کنید
"
"Please replace the disc with a writable DVD with at least %i MiB of free space.
","لطفا دیسک را با یک دی‌وی‌دی با قابلیت نوشتن و حداقل %Ii مگابایت فضای خالی جای‌گزین کنید.
"
"Please replace the disc with a writable DVD.
","لطفا دیسک را با یک دی‌وی‌دی با قابلیت نوشتن جای‌گزین کنید.
"
"Please insert a writable DVD with at least %i MiB of free space.
","لطفا یک دی‌وی‌دی با قابلیت نوشتن و حداقل %Ii مگابایت فضای خالی وارد کنید.
"
"Please insert a writable DVD.
","لطفا یک دی‌وی‌دی قابل نوشتن وارد کنید
"
"Please replace the disc with a writable CD or DVD with at least %i MiB of free space.
","لطفا دیسک را با یک سی‌دی و دی‌وی‌دی با قابلیت نوشتن و حداقل %Ii مگابایت فضای خالی جای‌گزین کنید.
"
"Please replace the disc with a writable CD or DVD.
","لطفا دیسک را با یک سی‌دی و دی‌وی‌دی با قابلیت نوشتن جای‌گزین کنید.
"
"Please insert a writable CD or DVD with at least %i MiB of free space.
","لطفا یک سی‌دی یا دی‌وی‌دی قابل بازنویسی و حداقل فضای آزاد %Ii مگابایت وارد کنید.
"
"Please insert a writable CD or DVD.
","لطفا یک سی‌دی یا دی‌وی‌دی قابل بازنویسی وارد کنید.
"
"An image of the disc has been created on your hard drive. Burning will begin as soon as a writable disc is inserted.
","یک تصویر از دیسک بر روی دیسک سخت شما ایجاد شده است. سوزاندن به محض ورود یک دیسک با قابلیت نوشتن شروع می‌شود.
"
"A data integrity test will begin as soon as the disc is inserted.
","یک آزمایشِ صحت اطلاعات به محض ورود دیسک انجام خواهد شد.
"
"Please re-insert the disc in the CD/DVD burner.
","لطفا دیسک را مجددا وارد سوزاننده‌ی سی‌دی/دی‌وی‌دی کنید.
"
"""%s"" is busy.
","دیسک‌گردان «%s» مشغول است.
"
"There is no disc in ""%s"".
","هیچ دیسکی درون «%s» وجود ندارد.
"
"The disc in ""%s"" is not supported.
","دیسک درون «%s» پشتیبانی نمی‌شود.
"
"The disc in ""%s"" is not rewritable.
","دیسک درون «%s» قابل بازنویسی نیست.
"
"The disc in ""%s"" is empty.
","دیسک درون «%s» خالی است.
"
"The disc in ""%s"" is not writable.
","دیسک درون «%s» قابل نوشتن نیست.
"
"Not enough space available on the disc in ""%s"".
","فضای کافی بر روی دیسک درون «%s» وجود ندارد.
"
"The disc in ""%s"" needs to be reloaded.
","دیسک درون «%s» لازم است دوباره بار شود.
"
"Please eject the disc and reload it.
","لطفا دیسک را خارج و دوباره بار کنید.
"
"You may want to free some space on the disc and retry
","ممکن است بخواهید مقداری فضا در دیسک خالی و مجددا تلاش کنید
"
"_Keep Current Location
","_حفظ محل فعلی
"
"_Change Location
","_تغییر محل
"
"Location for Image File
","محل پرونده تصویر
"
"Location for Temporary Files
","محل پرونده‌های موقت
"
"_Replace Disc
","_جایگزین کردن دیسک
"
"Do you really want to blank the current disc?
","آیا واقعا می‌خواهید دیسک فعلی را خالی کنید؟
"
"The disc in the drive holds data.
","دیسک داخل دیسک‌گردان حاوی اطلاعات است.
"
"_Blank Disc
","_خالی‌کردن دیسک
"
"There are files already burned on this disc. Would you like to import them?
","پرونده‌هایی هستند که بر روی دیسک سوزانده شده‌اند. آیا مایلید آنها را وارد کنید؟
"
"_Import
","_وارد کردن
"
"Do you want to continue anyway?
","آیا می‌خواهید در هر صورت ادامه دهید؟
"
"_Continue
","_ادامه
"
"Do you want to replace the disc and continue?
","آیا می‌خواهید دیسک را جایگزین و ادامه دهید؟
"
"The currently inserted disc could not be blanked.
","دیسک فعلی وارد شده قابل خالی کردن نیست.
"
"Do you want to continue with full Windows compatibility disabled?
","آیا می‌خواهید با غیرفعال‌سازیِ کاملِ گزینه‌ی سازگاری با ویندوز ادامه دهید؟
"
"C_ontinue
","_ادامه
"
"The simulation was successful.
","شبیه‌سازی موفقیت‌آمیز بود
"
"Real disc burning will take place in 10 seconds.
","سوزاندن واقعی دیسک در 10 ثانیه انجام می‌گیرد.
"
"Burn _Now
","هم‌اکنون _بسوزان
"
"Save Current Session
","ذخیره نشست فعلی
"
"An unknown error occurred.
","یک خطای ناشناس رخ داد.
"
"Error while burning.
","خطا در هنگام سوزاندن.
"
"_Save Log
","_ذخیره وقایع
"
"Video DVD successfully burned
","دی‌وی‌دی ویدئو با موفقیت سوزانده شد
"
"(S)VCD successfully burned
","(اس)‌وی‌سی‌دی با موفقیت سوزانده شد
"
"Audio CD successfully burned
","سی‌دی صوتی با موفقیت سوزانده شد
"
"Image successfully created
","تصویر با موفقیت ساخته شد
"
"DVD successfully copied
","دی‌وی‌دی با موفقیت رونوشت شد
"
"CD successfully copied
","سی‌دی با موفقیت رونوشت شد
"
"Image of DVD successfully created
","تصویر دی‌وی‌دی با موفقیت ساخته شد
"
"Image of CD successfully created
","تصویر سی‌دی با موفقیت ساخته شد
"
"Image successfully burned to DVD
","تصویر با موفقیت در دی‌وی‌دی سوزانده شد
"
"Image successfully burned to CD
","تصویر با موفقیت در سی‌دی سوزانده شد
"
"Data DVD successfully burned
","دی‌وی‌دی اطلاعات با موفقیت سوزانده شد
"
"Data CD successfully burned
","سی‌دی اطلاعات با موفقیت سوزانده شد
"
"Copy #%i has been burned successfully.
","رونوشت #%Ii با موفقیت سوزانده شده است.
"
"Another copy will start as soon as you insert a new writable disc. If you do not want to burn another copy, press ""Cancel"".
","رونوشت دیگر به محض اینکه یک دیسک قابل نوشتن را وارد کنید شروع می‌شود. اگر نمی‌خواهید رونوشت دیگری تهیه کنید، دکمه «لغو» را فشار دهید.
"
"Make _More Copies
","ساخت رونوشت‌های _بیشتر
"
"Create Co_ver
","_ساخت جلد
"
"There are some files left to burn
","تعدادی پرونده برای سوزاندن باقی‌مانده است
"
"There are some more videos left to burn
","تعداد بیشتری ویدئو برای سوزاندن باقی‌مانده است
"
"There are some more songs left to burn
","تعداد بیشتری آهنگ برای سوزاندن باقی‌مانده است
"
"Do you really want to quit?
","آیا واقعا می‌خواهید خارج شوید؟
"
"Interrupting the process may make disc unusable.
","قطع کردن این فرآیند ممکن است دیسک را غیرقابل استفاده کند.
"
"C_ontinue Burning
","_ادامه‌ی سوزاندن
"
"_Cancel Burning
","_لغو سوزاندن
"
"Please insert a writable CD or DVD if you don't want to write to an image file.
","لطفا یک سی‌دی یا دی‌وی‌دی قابل نوشتن را در صورتی که می‌خواهید پرونده تصویر بسازید، وارد کنید.
"
"Create _Image
","ساخت _تصویر
"
"_Copy
","_رونوشت
"
"Make _Several Copies
","تهیه _تعدادی رونوشت
"
"_Burn
","_سوزاندن
"
"Burn _Several Copies
","سوزندان _تعدادی رونوشت
"
"_Burn Several Discs
","_سوزاندن تعدادی دیسک
"
"Burn the selection of files across several media
","سوزاندن پرونده‌های انتخاب شده در تعدادی رسانه
"
"Please choose another CD or DVD or insert a new one.
","لطفا یک سی‌دی یا دی‌وی‌دی دیگر انتخاب، یا یک مورد جدید وارد کنید.
"
"Please add files.
","لطفا پرونده‌هایی اضافه کنید.
"
"There are no files to write to disc
","هیچ پرونده‌ای برای نوشتن در دیسک وجود ندارد
"
"Please add songs.
","لطفا آهنگ‌هایی اضافه کنید.
"
"There are no songs to write to disc
","هیچ آهنگی برای نوشتن درون دیسک وجود ندارد
"
"Please add videos.
","لطفا ویدئوهایی اضافه کنید.
"
"There are no videos to write to disc
","هیچ ویدئویی برای نوشتن در دیسک وجود ندارد
"
"There is no inserted disc to copy.
","هیچ دیسک برای رونوشت وارد نشده.
"
"Please select a disc image.
","لطفا یک تصویر دیسک انتخاب کنید.
"
"There is no selected disc image.
","هیچ تصویر دیسک انتخاب شده‌ای وجود ندارد.disc
"
"Please select another image.
","لطفا یک تصویر دیگر انتخاب کنید.
"
"It doesn't appear to be a valid disc image or a valid cue file.
","این یک تصویر دیسک معتبر یا یک پرونده راهنما بنظر نمی‌رسد.
"
"Please insert a disc that is not copy protected.
","لطفا یک دیسک که در برابر رونوشت محافظت نشده را وارد کنید.
"
"All required applications and libraries are not installed.
","تمام برنامه‌ها و کتابخانه‌های لازم نصب نشده‌اند.
"
"Please replace the disc with a supported CD or DVD.
","لطفا دیسک را با یک سی‌دی یا دی‌وی‌دی پشتیبانی شده تعویض کنید.
"
"Would you like to burn beyond the disc's reported capacity?
","آیا مایلید که بیش از گنجایش گزارش شده‌ی دیسک آن را بسوزانید؟
"
"Burn beyond the disc's reported capacity
","سوزاندن بیش از گنجایش گزارش شده دیسک
"
"Select a disc to write to
","یک دیسک برای نوشتن در آن انتخاب کنید
"
"Disc Burning Setup
","برپاسازی سوزاندن دیسک
"
"Video Options
","گزینه‌های ویدئو
"
"Burn as _File
","سوزاندن به عنوان _پرونده
"
"Burn _Contents…
","سوزندان _محتویات...
"
"Image Burning Setup
","برپاسازی سوزاندن تصویر
"
"Select a disc image to write
","یک تصویر دیسک برای نوشتن انتخاب کنید
"
"Copy CD/DVD
","رونوشت سی‌دی/‌دی‌وی‌دی
"
"Select disc to copy
","انتخاب دیسک برای رونشت
"
"Please install the following manually and try again:
","لطفا مورد مقابل را بصورت دستی نصب و مجددا تلاش کنید:
"
"Unknown song
","آهنگ ناشناس
"
"by %s
","توسط %s
"
"""%s"" cannot be read
","امکان خواندن «%s» وجود ندارد
"
"SVCD image
","تصویر SVCD
"
"VCD image
","تصویر VCD
"
"Video DVD image
","تصویر دی‌وی‌دی ویدئویی
"
"%s: ""%s""
","%s: «%s»
"
"%s: not enough free space
","فضای کافی وجود ندارد: %sFree
"
"%s: %s of free space
","%s: %s فضای خالی
"
"%s: %s free
","%s: %s خالی
"
"Do you really want to choose this location?
","آیا واقعا می‌خواهید این مکان را انتخاب کنید؟
"
"You do not have the required permission to write at this location
","شما اجازه‌ی لازم را برای نوشتن در این مکان را ندارید
"
"The filesystem on this volume does not support large files (size over 2 GiB). This can be a problem when writing DVDs or large images.
","سیستم‌پرونده بر روی این جلد از پرونده‌های بزرگ پشتیبانی نمی‌کند (حجم‌های بزرگ‌تر از ۲ گیگ). این ممکن است باعث بروز مشکلاتی در هنگام نوشتن دی‌وی‌دی یا تصاویر بزرگ شود.
"
"%.1f× (DVD)
","%I.1f× (DVD)
"
"%.1f× (CD)
","%I.1f× (CD)
"
"%.1f× (BD)
","%I.1f× (BD)
"
"%.1f× (BD) %.1f× (DVD) %.1f× (CD)
","%I.1f× (BD) %I.1f× (DVD) %I.1f× (CD)
"
"Impossible to retrieve speeds
","دریافت سرعت‌ها غیرممکن است
"
"Maximum speed
","حداکثر سرعت
"
"Burning speed
","سرعت سوزاندن
"
"_Simulate before burning
","_شبیه‌سازی قبل از سوزاندن
"
"Brasero will simulate the burning and, if it is successful, go on with actual burning after 10 seconds
","برازرو عملیات سوزاندن را شبیه‌سازی می‌کند، اگر موفقیت‌آمیز باشد، سوزندان حقیقی را پس از ۱۰ ثانیه انجام می‌دهد
"
"Burn the image directly _without saving it to disc
","سوزاندن مستقیم تصویر _بدون ذخیره کردن آن در دیسک
"
"Leave the disc _open to add other files later
","_باز گذاشتن دیسک برای اضافه کردن پرونده‌ها در آینده
"
"Allow to add more data to the disc later
","اجازه‌ی اینکه اطلاعات بیشتری بعدا به دیسک اضافه شود
"
"Options
","گزینه‌ها
"
"Location for _Temporary Files
","مکان پرونده‌های _موقت
"
"Set the directory where to store temporary files
","تنظیم شاخه‌ای که پرونده‌های موقت بر روی آن ذخیره می‌شود
"
"Temporary files
","پرونده‌های موقت
"
"Hidden file
","پرونده مخفی
"
"Unreadable file
","پرونده غیرقابل خواندن
"
"Broken symbolic link
","پیوند نمادین خراب
"
"Recursive symbolic link
","پیوند نمادین بازگشتی
"
"Disc image type:
","نوع تصویر دیسک:
"
"Autodetect
","تشخیص خودکار
"
"ISO9660 image
","تصویر ISO9660
"
"Cue image
","تصویر Cue
"
"Cdrdao image
","تصویر Cdrdao
"
"Properties of %s
","ترجیحات %s
"
"Do you really want to keep the current extension for the disc image name?
","آیا واقعا می‌خواهید از استفاده از افزونه‌ی فعلی برای نام تصویر دیسک ادامه دهید؟
"
"If you choose to keep it, programs may not be able to recognize the file type properly.
","اگر نگهداری ان را انتخاب کنید، برنامه ممکن است بدرستی قادر به شناسایی نوع پرونده نباشد.
"
"_Keep Current Extension
","استفاده از افزونه _فعلی
"
"Change _Extension
","تغییر _افزونه
"
"Configure recording options
","پیکربندی گزینه‌های ضبط
"
"Total time: %02i:%02i:%02i
","زمان کل: %I02i:%I02i:%I02i
"
"Average drive speed:
","سرعت متوسط دیسک‌گردان:
"
"Estimated remaining time: %02i:%02i:%02i
","زمان باقی‌مانده‌ی تقریبی: %I02i:%I02i:%I02i
"
"%i MiB of %i MiB
","%Ii مگابایت از %Ii مگابایت
"
"Estimated drive speed:
","سرعت تقریبی دیسک‌گردان:
"
"""%s"": loading
","«%s»: در حال بارگیری
"
"""%s"": unknown disc image type
","«%s»: نوع تصویر دیسک ناشناس
"
"""%s"": %s
","«%s»: %s
"
"Click here to select a disc _image
","برای انتخاب یک _تصویر دیسک اینجا را کلیک کنید
"
"Select Disc Image
","انتخاب تصویر دیسک
"
"All files
","تمام پرونده‌هاdisc
"
"Image files
","پرونده‌های تصویر
"
"Image type:
","نوع تصویر
"
"Estimated size: %s
","اندازه تقریبی: %s
"
"Do you really want to add ""%s"" to the selection?
","آیا واقعا می‌خواهید «%s» را به موارد انتخاب شده اضافه کنید؟
"
"The children of this directory will have 7 parent directories. Brasero can create an image of such a file hierarchy and burn it but the disc may not be readable on all operating systems. Note: Such a file hierarchy is known to work on Linux.
","فرزندان این شاخه شامل ۷ والد خواهند بود. برازرو می‌تواند تصویری از این نوع سلسله پرونده‌ها بسازد و آن را بسوزاند ولی دیسک ممکن است در همه سیستم‌عامل‌ها قابل خواندن نباشد. نکته: اینچنین سلسله پرونده‌ها در لینوکس قابل خواندن هستند.
"
"Ne_ver Add Such File
","_هیچ‌وقت این نوع پرونده را اضافه نکن
"
"Al_ways Add Such File
","ه_میشه این نوع پرونده را اضافه کن
"
"Should files be renamed to be fully Windows-compatible?
","آیا نام پرونده‌ها برای سازگاری کامل با ویندوز تغییر پیدا کنند؟
"
"Those names should be changed and truncated to 64 characters.
","آن نام‌ها باید تغییر کنند و به ۶۴ نویسه تقلیل پیدا کنند.
"
"_Disable Full Windows Compatibility
","_غیرفعال کردن سازگاری کامل با ویندوز
"
"_Rename for Full Windows Compatibility
","_تغییرنام جهت سازگاری کامل با ویندوز
"
"Size Estimation
","تخمین اندازه
"
"Please wait until the estimation of the size is completed.
","لطفا تا تخمین اندازه کامل شود منتظر بمانید.
"
"All files need to be analysed to complete this operation.
","تحلیل تمام پرونده‌ها برای انجام کامل این عملیات لازم است.
"
"Check _Again
","بررسی _دوباره
"
"The file integrity check could not be performed.
","بررسی صحت پرونده‌های را نمی‌توان انجام داد.
"
"An unknown error occurred
","یک خطای ناشناس رُخ داد
"
"The file integrity check was performed successfully.
","بررسی صحت پرونده‌ها با موفقیت انجام شد.
"
"There seem to be no corrupted files on the disc
","بنظر می‌رسد هیچ پرونده‌ی خرابی در دیسک نیست
"
"The following files appear to be corrupted:
","بنظر می‌رسد پرونده‌های مقابل خراب باشند:
"
"Corrupted Files
","پرونده‌های خراب
"
"Downloading MD5 file
","درحال بارگیری پرونده‌ی MD5
"
"""%s"" is not a valid URI
","آدرس «%s» یک آدرس معتبر نیست
"
"No MD5 file was given.
","هیچ پرونده‌ی MD5ای داده نشده بود.
"
"Use an _MD5 file to check the disc
","استفاده از پرونده‌ی MD5 برای _بررسی دیسک
"
"Use an external .md5 file that stores the checksum of a disc
","استفاده از یک پرونده md5 که حاوی مجموع مقابله‌ای (checksum) دیسک است.
"
"Open an MD5 file
","بازکردن یک پرونده MD5
"
"_Check
","_بررسی
"
"Disc Checking
","درحال بررسی دیسک
"
"The operation cannot be performed.
","عملیات قابل اجرا نیست.
"
"The disc is not supported
","دیسک پشتیبانی نمی‌شود
"
"The drive is empty
","دیسک‌گردان خالی است
"
"Select a disc
","یک دیسک انتخاب کنید
"
"Progress
","پیشرفت
"
"(loading…)
","(درحال بار گذاری...)
"
"Empty
","خالی
"
"Disc file
","پرونده دیسک
"
"New folder
","پوشه جدید
"
"New folder %i
","پوشه‌ی جدید %Ii
"
"Analysing files
","تحلیل پرونده‌ها
"
"""%s"" is a recursive symbolic link.
","پیوند «%s» یک پیوند نمادین بازگشتی است.
"
"""%s"" cannot be found.
","«%s» پیدا نشد.
"
"Retrieving image format and size
","درحال دریافت اندازه و قالب تصویر
"
"The format of the disc image could not be identified
","قالب تصویر دیسک قابل شناسایی نبود
"
"Please set it manually
","لطفا به صورت دستی تنظیم کنید
"
"""%s"" was removed from the file system.
","پرونده «%s» از این سیستم‌پرونده حذف شده است.
"
"Directories cannot be added to video or audio discs
","شاخه‌ها نمی‌توانند به دیسک‌های ویدئویی یا صوتی اضافه شوند
"
"Playlists cannot be added to video or audio discs
","فهرست‌های پخش نمی‌توانند به دیسک‌های ویدئویی و صوتی اضافه شوند
"
"""%s"" is not suitable for audio or video media
","نام «%s» برای یک رسانه ویدئو یا صوت مناسب نیست
"
"Analysing video files
","درحال تحلیل پرونده‌های ویدئویی
"
"Video format:
","قالب ویدئو:
"
"_NTSC
","_NTSC
"
"Format used mostly on the North American continent
","قالبی که بیشتر در قاره آمریکای شمالی از آن استفاده شده است
"
"_PAL/SECAM
","_PAL/SECAM
"
"Format used mostly in Europe
","قالبی که بیشتر در اروپا استفاده شده است
"
"Native _format
","_قالب محلی
"
"Aspect ratio:
","نسبت عرض به ارتفاع:
"
"_4:3
","_4:3
"
"_16:9
","_16:9
"
"VCD type:
","نوع وی‌سی‌دی:
"
"Create an SVCD
","ساخت یک SVCD
"
"Create a VCD
","ساختن یک VCD
"
"Directory could not be created (%s)
","شاخه قابل ساخت نیست (%s)
"
"Getting size
","درحال دریافت اندازه
"
"Writing
","درحال نوشتن
"
"Blanking
","درحال خالی کردن
"
"Creating checksum
","درحال ساخت مجموع مقابله‌ای (checksum)
"
"Copying file
","درحال رونوشت پرونده
"
"Analysing audio files
","تحلیل پرونده‌های صوتی
"
"Preparing to write
","درحال آماده شدن برای نوشتن
"
"Writing CD-Text information
","درحال نوشتن اطلاعات CD-Text
"
"Finalizing
","درحال پایان بردن
"
"Starting to record
","درحال شروع برای ضبط
"
"Success
","موفقیت
"
"Ejecting medium
","درحال بیرون دادن رسانه
"
"Display debug statements on stdout for Brasero burn library
","نمایش گزارش رفع‌اشکال در stdout برای کتابخانه سوزاندن برازرو
"
"Brasero media burning library
","کتابخانه‌ی سوزاندن رسانه برازرو
"
"Display options for Brasero-burn library
","نمایش گزینه‌ها برای کتابخانه سوزاندن برازرو
"
"""%s"" did not behave properly
","افزونه «%s» به درستی رفتار نکرد
"
"Not enough space available on the disc (%s available for %s)
","فضای کافی بر روی دیسک وجود ندارد (%s برای %s موجود است)
"
"The size of the volume could not be retrieved
","اندازه جلد قابل دریافت نیست
"
"No path was specified for the image output
","هیچ مسیری برای خروجی تصویر مشخص نشده
"
"An internal error occurred (%s)
","یک خطا داخلی رخ داد (%s)
"
"The file is not stored locally
","پرونده بصورت محلی ذخیره نشده است
"
"VIDEO_TS directory is missing or invalid
","شاخه‌ی VIDEO_TS وجود ندارد یا نامعتبر است
"
"""%s"" could not be found in the path
","امکان پیدا کردن «%s» در مسیر نبود
"
"""%s"" GStreamer plugin could not be found
","افزونه GStreamer «%s» قابل یافت نبود
"
"The version of ""%s"" is too old
","نسخه‌ی «%s» خیلی قدیمی است
"
"Image File
","پرونده تصویر
"
"File
","پرونده
"
"CD-ROM
","CD-ROM
"
"CD-R
","CD-R
"
"CD-RW
","CD-RW
"
"DVD-ROM
","DVD-ROM
"
"DVD-R
","DVD-R
"
"DVD-RW
","DVD-RW
"
"DVD+R
","DVD+R
"
"DVD+RW
","DVD+RW
"
"DVD+R dual layer
","DVD+R دو لایه
"
"DVD+RW dual layer
","DVD+RW دو لایه
"
"DVD-R dual layer
","DVD-R دو لایه
"
"DVD-RAM
","DVD-RAM
"
"Blu-ray disc
","دیسک بلو ری
"
"Writable Blu-ray disc
","دیسک بلو ری با قابلیت نوشتن
"
"Rewritable Blu-ray disc
","دیسک بلو ری با قابلیت نوشتن مجدد
"
"Blank %s in %s
","%s خالی در %s
"
"%s: empty
","%s: خالی
"
"%s: %s
","%s: %s
"
"Searching for available discs
","جستجو برای دیسک‌های موجود
"
"No disc available
","هیچ دیسکی موجود نیست
"
"%s h %s min %s
","%s ساعت %s دقیقه %s ثانیه
"
"%s h %s
","%s ساعت %s دقیقه
"
"%s h
","%s ساعت
"
"%s:%s:%s
","%s:%s:%s
"
"%s:%s
","%s:%s
"
"%s min
","%s دقیقه
"
"%s:%s min
","%s:%s دقیقه
"
"The disc mount point could not be retrieved
","نقطه سوارکردن دیسک قابل دریافت نیست
"
"Blank disc (%s)
","دیسک خالی (%s)
"
"Audio and data disc (%s)
","دیسک صوتی و اطلاعاتی (%s)
"
"Audio disc (%s)
","دیسک صوتی (%s)
"
"Data disc (%s)
","دیسک اطلاعاتی (%s)
"
